"tajada","ancho","altura","peso","c","phi","alfa","beta","ho","Q","delta","hw"
1,5.00,2.00,16.00,20.00,20.00,-19.20,26.57,0.00,0.00,0.00,1.00
2,5.00,6.00,16.00,20.00,20.00,-11.40,26.57,0.00,0.00,0.00,3.00
3,5.00,9.00,16.00,20.00,20.00,-3.80,26.57,0.00,0.00,0.00,4.50
4,5.00,11.50,16.00,20.00,20.00,3.80,26.57,0.00,0.00,0.00,5.750
5,5.00,13.50,16.00,20.00,20.00,11.40,26.57,0.00,0.00,0.00,6.75
6,5.00,14.50,16.00,20.00,20.00,19.20,26.57,0.00,0.00,0.00,7.25
7,5.00,15.00,16.00,20.00,20.00,27.40,26.57,0.00,0.00,0.00,7.50
8,5.00,14.50,16.00,20.00,20.00,36.20,26.57,0.00,0.00,0.00,7.25
9,5.00,12.00,16.00,20.00,20.00,46.20,0.00,0.00,0.00,0.00,6.00
10,5.00,5.00,16.00,20.00,20.00,58.60,0.00,0.00,0.00,0.00,2.50
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
